                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2204,                 3.2617,                 1.5304,                0.80555,                0.83577,                 0.9036,                0.62031,                  1.159,                 4.8191,                 1.3451,              0.0003254,              0.0003254,              0.0003254
                      1,                 1.0998,                 1.1601,                 1.3511,                0.73891,                0.47849,                0.57395,                0.34882,                 1.3122,                 3.0525,                 1.6466,             0.00063264,             0.00063264,             0.00063264
                      2,                 1.0504,                  1.008,                 1.3452,                0.89288,                0.57771,                0.68112,                0.39824,                 1.6061,                 3.3472,                 2.1253,             0.00091349,             0.00091349,             0.00091349
                      3,                 1.0027,                0.98186,                 1.3071,                 0.9758,                0.72976,                0.88261,                0.68275,                0.95933,                 2.2857,                 1.2487,              0.0008812,              0.0008812,              0.0008812
                      4,                0.97754,                0.83132,                 1.2933,                0.79975,                0.71604,                 0.9208,                  0.638,                 1.0811,                 1.8686,                 1.3981,              0.0008812,              0.0008812,              0.0008812
                      5,                0.97482,                0.76859,                 1.2896,                0.92308,                0.96872,                0.98643,                0.78325,                0.89299,                0.82582,                 1.2832,              0.0008416,              0.0008416,              0.0008416
                      6,                0.94367,                0.74639,                 1.2645,                0.90276,                0.84616,                0.99056,                0.81075,                0.76741,                  1.115,                 1.1085,               0.000802,               0.000802,               0.000802
                      7,                0.93022,                0.69218,                  1.235,                0.93317,                0.74332,                0.89249,                0.73241,                0.76655,                 1.7772,                 1.1165,              0.0007624,              0.0007624,              0.0007624
                      8,                 0.8459,                0.64651,                  1.191,                0.97555,                0.94056,                0.97457,                0.80878,                0.71237,                0.86503,                 1.0982,              0.0007228,              0.0007228,              0.0007228
                      9,                0.84121,                0.63539,                 1.1989,                  0.981,                0.86231,                0.97668,                0.81041,                0.70062,                0.72292,                 1.0736,              0.0006832,              0.0006832,              0.0006832
                     10,                0.84707,                0.60276,                 1.1858,                0.98703,                 0.9318,                0.99038,                0.85256,                0.66157,                0.74607,                 1.0402,              0.0006436,              0.0006436,              0.0006436
                     11,                0.80231,                0.56896,                 1.1784,                0.99687,                      1,                  0.995,                 0.8492,                0.64927,                0.36817,                 1.0179,               0.000604,               0.000604,               0.000604
                     12,                0.77418,                0.53179,                 1.1669,                0.99644,                      1,                  0.995,                0.86432,                0.65062,                 0.3602,                  1.018,              0.0005644,              0.0005644,              0.0005644
                     13,                0.78634,                0.50678,                 1.1488,                0.99209,                0.99995,                  0.995,                0.83806,                0.71282,                0.39849,                 1.0806,              0.0005248,              0.0005248,              0.0005248
                     14,                 0.7717,                 0.5026,                 1.1525,                0.99431,                      1,                  0.995,                0.86383,                 0.6499,                0.41365,                 1.0228,              0.0004852,              0.0004852,              0.0004852
                     15,                0.75545,                0.47866,                 1.1456,                0.99609,                      1,                  0.995,                0.85951,                0.63319,                0.36015,                 1.0111,              0.0004456,              0.0004456,              0.0004456
                     16,                 0.7035,                0.47866,                 1.1297,                0.99432,                0.97917,                0.99346,                0.85066,                0.66341,                 0.3655,                 1.0249,               0.000406,               0.000406,               0.000406
                     17,                 0.7173,                0.45748,                 1.1341,                0.99756,                      1,                  0.995,                0.86766,                0.61795,                0.31241,                0.98476,              0.0003664,              0.0003664,              0.0003664
                     18,                0.68543,                0.42986,                 1.1069,                0.98692,                0.97778,                  0.995,                0.78717,                0.92858,                0.49306,                 1.2887,              0.0003268,              0.0003268,              0.0003268
                     19,                0.65705,                0.43069,                 1.0971,                 0.9854,                      1,                  0.995,                0.86132,                0.67892,                 0.4071,                 1.0603,              0.0002872,              0.0002872,              0.0002872
                     20,                0.67142,                0.41205,                 1.1001,                0.99002,                0.99911,                  0.995,                0.85199,                0.68717,                0.36058,                 1.0439,              0.0002476,              0.0002476,              0.0002476
                     21,                0.64152,                0.40341,                 1.0791,                0.98615,                      1,                  0.995,                  0.827,                0.76411,                0.37705,                 1.1571,               0.000208,               0.000208,               0.000208
                     22,                0.63873,                0.38877,                 1.0869,                0.99481,                      1,                  0.995,                0.87532,                0.61369,                0.29225,                0.97263,              0.0001684,              0.0001684,              0.0001684
                     23,                0.62605,                0.38039,                 1.0777,                0.99125,                0.99899,                  0.995,                0.87124,                0.59681,                0.31072,                0.97736,              0.0001288,              0.0001288,              0.0001288
                     24,                0.60754,                0.37406,                 1.0576,                0.99585,                      1,                  0.995,                0.86855,                0.62708,                0.29728,                 0.9948,               8.92e-05,               8.92e-05,               8.92e-05
