                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82588,                 1.7498,                 1.1843,                0.93206,                      1,                0.99403,                 0.8235,                0.65677,                 2.4594,                 1.0265,                0.00026,                0.00026,                0.00026
                      1,                0.71195,                0.82028,                 1.0987,                0.93173,                0.92539,                 0.9721,                0.81377,                0.70798,                 1.2485,                 1.0774,             0.00053465,             0.00053465,             0.00053465
                      2,                0.76514,                0.69354,                  1.128,                0.83613,                0.86441,                0.89294,                0.62593,                0.98114,                 1.5158,                 1.3081,             0.00080376,             0.00080376,             0.00080376
                      3,                0.79658,                0.64943,                 1.1037,                0.44525,                 0.9322,                0.73403,                0.42825,                 1.3773,                 7.2018,                 2.5148,              0.0010673,              0.0010673,              0.0010673
                      4,                0.84868,                0.71875,                 1.1523,                0.74495,                0.94067,                0.92724,                0.65364,                0.91115,                 2.8661,                 1.3729,              0.0013254,              0.0013254,              0.0013254
                      5,                 0.7583,                0.58828,                 1.0985,                0.32854,                0.30687,                0.24971,                0.07903,                 1.9466,                 4.3413,                 2.2944,              0.0015778,              0.0015778,              0.0015778
                      6,                0.85456,                0.66939,                 1.1784,                0.67019,                0.79661,                0.78221,                0.39715,                 1.2859,                 3.1182,                 1.6141,              0.0018248,              0.0018248,              0.0018248
                      7,                0.78272,                0.56832,                 1.1222,                0.74926,                0.77966,                 0.8094,                0.49963,                 1.1803,                 2.3842,                 1.6839,              0.0018614,              0.0018614,              0.0018614
                      8,                0.78294,                0.55662,                 1.1365,                0.78073,                0.61017,                 0.7287,                0.53805,                 1.0448,                 1.5569,                  1.334,              0.0018614,              0.0018614,              0.0018614
                      9,                0.83196,                0.55646,                 1.1229,                0.28059,                0.74576,                0.27177,                0.12497,                 1.7765,                 3.5444,                 1.9845,              0.0018416,              0.0018416,              0.0018416
